LastUsedTimeStop	Access	Capability	AppIdentifier	AppName	UserSID
2025-04-19 02:37:46	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:46	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:46	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:46	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:46	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:46	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:46	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:46	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:46	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:46	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:47	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:47	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:47	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:47	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:47	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:47	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:47	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:48	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:48	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:48	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:48	Access OK	location	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	NVIDIA Share	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:48	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:48	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 02:37:48	Access OK	location	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	Dropbox	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 05:37:50	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 05:37:50	Access OK	location	C:\Windows\explorer.exe	Windows Explorer	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 05:37:56	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001
2025-04-19 16:37:27	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001
