Last_used_start	Last_used_stop	AccessBlocked	Capability	PackageName	AppName	UserSID	Label	ID
2025-04-19 17:30:29	2025-04-19 17:30:29	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	766
2025-04-19 17:30:29	2025-04-19 17:30:29	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	767
2025-04-19 17:30:32	2025-04-19 17:30:32	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	768
2025-04-19 17:30:32	2025-04-19 17:30:32	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	769
2025-04-19 17:30:32	2025-04-19 17:30:32	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	770
2025-04-19 17:30:35	2025-04-19 17:30:35	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	771
2025-04-19 17:30:36	2025-04-19 17:30:36	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	772
2025-04-19 17:32:09	2025-04-19 17:32:09	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001	2	773
2025-04-19 17:43:28	2025-04-19 17:43:28	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	774
2025-04-19 17:59:19	2025-04-19 17:59:19	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	775
2025-04-19 18:17:22	2025-04-19 18:17:22	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	776
2025-04-19 18:18:45	2025-04-19 18:18:45	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	777
2025-04-19 18:33:53	2025-04-19 18:33:53	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	778
2025-04-19 18:35:17	2025-04-19 18:35:17	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	779
2025-04-19 18:35:22	2025-04-19 18:35:22	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	780
2025-04-19 18:37:23	2025-04-19 18:37:23	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	781
2025-04-19 18:56:04	2025-04-19 18:56:04	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	782
2025-04-19 19:14:46	2025-04-19 19:14:46	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	783
2025-04-19 19:34:17	2025-04-19 19:34:17	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001	2	784
2025-04-19 19:34:17	2025-04-19 19:34:17	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	785
2025-04-19 19:34:17	2025-04-19 19:34:17	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	786
2025-04-19 19:34:17	2025-04-19 19:34:17	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	787
2025-04-19 19:34:17	2025-04-19 19:34:17	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	788
2025-04-19 19:34:18	2025-04-19 19:34:18	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	789
2025-04-19 22:07:59	2025-04-19 22:07:59	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001	2	790
2025-04-19 22:10:03	2025-04-19 22:10:03	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams	S-1-5-21-2555952594-822551513-3886238188-1001	2	791
2025-04-19 22:10:03	2025-04-19 22:10:03	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	792
2025-04-19 22:10:03	2025-04-19 22:10:03	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	793
2025-04-19 22:10:04	2025-04-19 22:10:04	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	794
2025-04-19 22:10:04	2025-04-19 22:10:04	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	795
2025-04-19 22:10:05	2025-04-19 22:10:05	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	796
2025-04-19 22:10:05	2025-04-19 22:10:05	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Emergency calling (if available) and regional call compliance	S-1-5-21-2555952594-822551513-3886238188-1001	2	797
2025-04-19 22:10:06	2025-04-19 22:10:06	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Emergency calling (if available) and regional call compliance	S-1-5-21-2555952594-822551513-3886238188-1001	2	798
2025-04-19 22:10:06	2025-04-19 22:10:06	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	799
2025-04-19 22:10:06	2025-04-19 22:10:06	Access OK	location	MSTeams_8wekyb3d8bbwe	Microsoft Teams: Telemetry to improve call quality	S-1-5-21-2555952594-822551513-3886238188-1001	2	800
2025-04-19 22:30:20	2025-04-19 22:30:20	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	801
2025-04-19 22:32:59	2025-04-19 22:32:59	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	Snipping Tool	S-1-5-21-2555952594-822551513-3886238188-1001	2	802
2025-04-19 22:58:20	2025-04-19 22:58:20	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	803
2025-04-19 23:19:06	2025-04-19 23:19:06	Access OK	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	Start Experiences App	S-1-5-21-2555952594-822551513-3886238188-1001	2	804
