Last_used_start	Last_used_stop	Access	Capability	Binary_full_path	FileID	ProgramID	UserSID	ID
N.A.	2025-04-16 17:26:26	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29134
N.A.	2025-04-16 17:26:41	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29135
N.A.	2025-04-16 17:27:16	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29136
N.A.	2025-04-16 17:27:16	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29137
N.A.	2025-04-16 17:27:44	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29138
N.A.	2025-04-16 17:27:44	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29139
N.A.	2025-04-16 17:29:50	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29140
N.A.	2025-04-16 17:49:17	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29141
N.A.	2025-04-16 17:49:17	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29142
N.A.	2025-04-16 17:49:17	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29143
N.A.	2025-04-16 17:49:17	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29144
N.A.	2025-04-16 17:49:17	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29145
N.A.	2025-04-16 18:59:46	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29146
N.A.	2025-04-16 20:48:16	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29147
N.A.	2025-04-18 00:24:25	Blocked	location	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	000084380949f84944945ba50dfd9b809a59ad68ffcb	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29148
N.A.	2025-04-18 00:24:27	Blocked	location	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	000084380949f84944945ba50dfd9b809a59ad68ffcb	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29149
N.A.	2025-04-18 00:24:47	Blocked	location	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	000084380949f84944945ba50dfd9b809a59ad68ffcb	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29150
N.A.	2025-04-18 00:25:18	Blocked	location	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	000084380949f84944945ba50dfd9b809a59ad68ffcb	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29151
N.A.	2025-04-18 00:26:28	Blocked	location	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	000084380949f84944945ba50dfd9b809a59ad68ffcb	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29152
N.A.	2025-04-18 00:27:10	Blocked	location	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	000084380949f84944945ba50dfd9b809a59ad68ffcb	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29153
N.A.	2025-04-18 00:28:21	Blocked	location	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	000084380949f84944945ba50dfd9b809a59ad68ffcb	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29154
N.A.	2025-04-18 00:29:10	Blocked	location	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	000084380949f84944945ba50dfd9b809a59ad68ffcb	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29155
N.A.	2025-04-18 00:30:22	Blocked	location	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	000084380949f84944945ba50dfd9b809a59ad68ffcb	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29156
N.A.	2025-04-21 15:27:18	Blocked	location	C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE	0000047c34a005e11c4b15f526c159d76ac03e79f6ce	0000cfbf8e3d57807f696dba6642c18484900000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29157
N.A.	2025-04-21 18:58:32	Blocked	location	C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE	0000245d0ca8c4d2675d7701e5c773db170c7e859ddc	0000cfbf8e3d57807f696dba6642c18484900000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29158
N.A.	2025-04-21 21:36:03	Blocked	location	C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE	0000245d0ca8c4d2675d7701e5c773db170c7e859ddc	0000cfbf8e3d57807f696dba6642c18484900000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29159
N.A.	2025-04-23 02:16:25	Blocked	location	C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE	0000245d0ca8c4d2675d7701e5c773db170c7e859ddc	0000cfbf8e3d57807f696dba6642c18484900000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29160
N.A.	2025-04-23 14:10:09	Blocked	location	C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE	0000245d0ca8c4d2675d7701e5c773db170c7e859ddc	0000cfbf8e3d57807f696dba6642c18484900000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29161
