Last_used_start	Last_used_stop	AccessBlocked	Capability	PackageName	UserSID	ID
N.A.	2025-04-15 02:36:32	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169162
2025-04-15 02:48:47	2025-04-15 02:48:49	Access OK	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169163
2025-04-15 02:49:12	2025-04-15 02:49:23	Access OK	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169164
2025-04-15 02:50:55	2025-04-15 02:51:06	Access OK	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169165
2025-04-15 02:52:13	2025-04-15 02:52:24	Access OK	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169183
N.A.	2025-04-15 02:53:59	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169166
N.A.	2025-04-15 02:53:59	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169167
N.A.	2025-04-15 02:53:59	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169168
N.A.	2025-04-15 02:53:59	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169169
N.A.	2025-04-15 02:53:59	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169170
N.A.	2025-04-15 02:54:08	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169171
N.A.	2025-04-15 02:54:08	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169172
N.A.	2025-04-15 02:54:08	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169173
N.A.	2025-04-15 02:54:08	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169174
N.A.	2025-04-15 02:54:08	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169175
N.A.	2025-04-15 02:54:08	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169176
N.A.	2025-04-15 02:54:13	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169177
N.A.	2025-04-15 02:54:13	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169178
N.A.	2025-04-15 02:54:13	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169179
N.A.	2025-04-15 02:54:13	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169180
N.A.	2025-04-15 02:54:13	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169181
N.A.	2025-04-15 02:54:17	Blocked	webcam	PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0	S-1-5-21-2937787367-2771787762-275716747-1001	169182
N.A.	2025-04-15 02:59:41	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169184
N.A.	2025-04-15 02:59:41	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169185
N.A.	2025-04-15 02:59:41	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169186
N.A.	2025-04-15 03:17:13	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169187
N.A.	2025-04-15 03:17:13	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169188
N.A.	2025-04-15 03:17:13	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169189
N.A.	2025-04-15 13:12:01	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169190
N.A.	2025-04-15 13:12:01	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169191
N.A.	2025-04-15 13:12:01	Blocked	location	Microsoft.StartExperiencesApp_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169192
N.A.	2025-04-15 13:26:11	Blocked	location	MSTeams_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169193
2025-04-15 13:34:42	2025-04-15 13:34:42	Access OK	graphicsCaptureWithoutBorder	Microsoft.ScreenSketch_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169196
N.A.	2025-04-15 13:39:56	Blocked	contacts	Microsoft.People_8wekyb3d8bbwe	S-1-5-21-2937787367-2771787762-275716747-1001	169195
